ticker,exchange,assetType,priceCurrency,startDate,endDate
000338,SHE,Stock,CNY,2018-01-01,2020-09-22
000400,SHE,Stock,CNY,2018-01-01,2020-09-22
000401,SHE,Stock,CNY,2018-01-01,2020-09-22
000402,SHE,Stock,CNY,2000-01-03,2020-09-22
000403,SHE,Stock,CNY,2018-01-01,2020-09-22
000404,SHE,Stock,CNY,2018-01-01,2020-09-22
000405,SHE,Stock,CNY,,
000406,SHE,Stock,CNY,,
000407,SHE,Stock,CNY,2000-01-04,2020-09-22
000408,SHE,Stock,CNY,2018-01-02,2020-09-22
000409,SHE,Stock,CNY,2018-01-02,2020-09-22
000410,SHE,Stock,CNY,2000-01-03,2020-09-22
000411,SHE,Stock,CNY,2018-01-01,2020-09-22
000412,SHE,Stock,CNY,,
000413,SHE,Stock,CNY,2000-01-03,2020-09-22
000415,SHE,Stock,CNY,2018-01-02,2020-09-22
000416,SHE,Stock,CNY,2000-01-03,2020-09-22
000417,SHE,Stock,CNY,2018-01-01,2020-09-22
000418,SHE,Stock,CNY,2000-01-03,2019-05-07
000419,SHE,Stock,CNY,2000-01-03,2020-09-22
000420,SHE,Stock,CNY,2000-01-03,2020-09-22
000421,SHE,Stock,CNY,2000-01-03,2020-09-22
000422,SHE,Stock,CNY,2018-01-02,2020-09-22
000423,SHE,Stock,CNY,2000-01-03,2020-09-22
000425,SHE,Stock,CNY,2000-01-03,2020-09-22
000426,SHE,Stock,CNY,2000-01-03,2020-09-22
000428,SHE,Stock,CNY,2000-01-03,2020-09-22
000429,SHE,Stock,CNY,2000-01-03,2020-09-22
000430,SHE,Stock,CNY,2018-01-02,2020-09-22
000488,SHE,Stock,CNY,2000-11-20,2020-09-22
000498,SHE,Stock,CNY,2018-01-01,2020-09-22
000501,SHE,Stock,CNY,2000-01-03,2020-09-22
000502,SHE,Stock,CNY,2007-08-30,2020-09-22
000503,SHE,Stock,CNY,2018-01-02,2020-09-22
000504,SHE,Stock,CNY,2007-08-30,2020-09-22
000505,SHE,Stock,CNY,2007-08-30,2020-09-22
000506,SHE,Stock,CNY,2018-01-02,2020-09-22
000507,SHE,Stock,CNY,2018-01-01,2020-09-22
000508,SHE,Stock,CNY,,
000509,SHE,Stock,CNY,2017-07-17,2020-09-22
000510,SHE,Stock,CNY,2000-01-04,2020-09-22
000511,SHE,Stock,CNY,2017-04-28,2018-07-17
000513,SHE,Stock,CNY,2000-01-03,2020-09-22
000514,SHE,Stock,CNY,2018-01-01,2020-09-22
000515,SHE,Stock,CNY,,
000516,SHE,Stock,CNY,2000-02-02,2020-09-22
000517,SHE,Stock,CNY,2000-01-03,2020-09-22
000518,SHE,Stock,CNY,2007-08-30,2020-09-22
000519,SHE,Stock,CNY,2018-01-01,2020-09-22
000520,SHE,Stock,CNY,2000-01-03,2020-09-22
000521,SHE,Stock,CNY,2018-01-01,2020-09-22
000522,SHE,Stock,CNY,,
000523,SHE,Stock,CNY,2018-01-01,2020-09-22
000524,SHE,Stock,CNY,2018-01-01,2020-09-22
000525,SHE,Stock,CNY,2018-01-01,2020-09-22
000526,SHE,Stock,CNY,2007-08-30,2020-09-22
000527,SHE,Stock,CNY,,
000528,SHE,Stock,CNY,2000-01-03,2020-09-22
000529,SHE,Stock,CNY,2018-01-01,2020-09-22
000530,SHE,Stock,CNY,2000-01-03,2020-09-22
000531,SHE,Stock,CNY,2018-01-01,2020-09-22
000532,SHE,Stock,CNY,2000-01-03,2020-09-22
000533,SHE,Stock,CNY,2018-01-02,2020-09-22
000534,SHE,Stock,CNY,2000-01-03,2020-09-22
000535,SHE,Stock,CNY,,
000536,SHE,Stock,CNY,2000-01-03,2020-09-22
000537,SHE,Stock,CNY,2000-01-13,2020-09-22
000538,SHE,Stock,CNY,2016-02-23,2020-09-22
000539,SHE,Stock,CNY,2000-01-03,2020-09-22
000540,SHE,Stock,CNY,2017-08-18,2020-09-22
000541,SHE,Stock,CNY,2000-01-03,2020-09-22
000542,SHE,Stock,CNY,,
000543,SHE,Stock,CNY,2018-01-01,2020-09-22
000544,SHE,Stock,CNY,2018-01-01,2020-09-22
000545,SHE,Stock,CNY,2018-01-01,2020-09-22
000546,SHE,Stock,CNY,2018-01-01,2020-09-22
000547,SHE,Stock,CNY,2018-01-01,2020-09-22
000548,SHE,Stock,CNY,2018-01-01,2020-09-22
000549,SHE,Stock,CNY,,
000550,SHE,Stock,CNY,2018-01-01,2020-09-22
000551,SHE,Stock,CNY,2018-01-02,2020-09-22
000552,SHE,Stock,CNY,2018-01-01,2020-09-22
000553,SHE,Stock,CNY,2018-01-01,2020-09-22
000554,SHE,Stock,CNY,2018-01-02,2020-09-22
000555,SHE,Stock,CNY,2018-01-01,2020-09-22
000556,SHE,Stock,CNY,,
000557,SHE,Stock,CNY,2007-08-30,2020-09-22
000558,SHE,Stock,CNY,2007-08-30,2020-09-22
000559,SHE,Stock,CNY,2018-01-01,2020-09-22
000560,SHE,Stock,CNY,2018-01-01,2020-09-22
000561,SHE,Stock,CNY,2000-01-03,2020-09-22
000562,SHE,Stock,CNY,,
000563,SHE,Stock,CNY,2018-01-01,2020-09-22
000564,SHE,Stock,CNY,2007-08-30,2020-09-22
000565,SHE,Stock,CNY,2018-01-01,2020-09-22
000566,SHE,Stock,CNY,2017-11-21,2020-09-22
000567,SHE,Stock,CNY,2018-01-01,2020-09-22
000568,SHE,Stock,CNY,2018-01-01,2020-09-22
000569,SHE,Stock,CNY,,
000570,SHE,Stock,CNY,2000-01-03,2020-09-22
000571,SHE,Stock,CNY,2018-01-02,2020-09-22
000572,SHE,Stock,CNY,2018-01-02,2020-09-22
000573,SHE,Stock,CNY,2018-01-01,2020-09-22
000576,SHE,Stock,CNY,2007-08-30,2020-09-22
000578,SHE,Stock,CNY,,
000581,SHE,Stock,CNY,2000-01-04,2020-09-22
000582,SHE,Stock,CNY,2018-01-01,2020-09-22
000583,SHE,Stock,CNY,,
000584,SHE,Stock,CNY,2018-01-01,2020-09-22
000585,SHE,Stock,CNY,2007-08-30,2020-09-22
000586,SHE,Stock,CNY,2000-01-04,2020-09-22
000587,SHE,Stock,CNY,2000-01-03,2020-09-22
000588,SHE,Stock,CNY,,
000589,SHE,Stock,CNY,2018-01-01,2020-09-22
000590,SHE,Stock,CNY,2018-01-02,2020-09-22
000591,SHE,Stock,CNY,2018-01-01,2020-09-22
000592,SHE,Stock,CNY,2015-01-05,2020-09-22
000593,SHE,Stock,CNY,2000-01-03,2020-09-22
000594,SHE,Stock,CNY,,
000595,SHE,Stock,CNY,2000-01-03,2020-09-22
000596,SHE,Stock,CNY,2000-01-03,2020-09-22
000597,SHE,Stock,CNY,2018-01-01,2020-09-22
000598,SHE,Stock,CNY,2018-01-01,2020-09-22
000599,SHE,Stock,CNY,2018-01-01,2020-09-22
000600,SHE,Stock,CNY,2018-01-01,2020-09-22
000601,SHE,Stock,CNY,2018-01-01,2020-09-22
000602,SHE,Stock,CNY,,
000603,SHE,Stock,CNY,2018-01-01,2020-09-22
000605,SHE,Stock,CNY,2000-01-03,2020-09-22
000606,SHE,Stock,CNY,2007-08-30,2020-09-22
000607,SHE,Stock,CNY,2000-01-03,2020-09-22
000608,SHE,Stock,CNY,2018-01-02,2020-09-22
000609,SHE,Stock,CNY,2000-01-05,2020-09-22
000610,SHE,Stock,CNY,2018-01-01,2020-09-22
000611,SHE,Stock,CNY,2018-01-02,2020-09-22
000612,SHE,Stock,CNY,2018-01-01,2020-09-22
000613,SHE,Stock,CNY,2007-08-30,2020-09-22
000615,SHE,Stock,CNY,2018-01-02,2020-09-22
000616,SHE,Stock,CNY,2007-08-30,2020-09-22
000617,SHE,Stock,CNY,2018-01-01,2020-09-22
000618,SHE,Stock,CNY,,
000619,SHE,Stock,CNY,2000-01-03,2020-09-22
000620,SHE,Stock,CNY,2000-01-04,2020-09-22
000621,SHE,Stock,CNY,,
000622,SHE,Stock,CNY,2013-02-08,2020-09-22
000623,SHE,Stock,CNY,2000-01-03,2020-09-22
000625,SHE,Stock,CNY,2000-01-03,2020-09-22
000626,SHE,Stock,CNY,2018-01-02,2020-09-22
000627,SHE,Stock,CNY,2000-01-03,2020-09-22
000628,SHE,Stock,CNY,2007-08-30,2020-09-22
000629,SHE,Stock,CNY,2017-04-19,2020-09-22
000630,SHE,Stock,CNY,2000-01-03,2020-09-22
000631,SHE,Stock,CNY,2018-01-01,2020-09-22
000632,SHE,Stock,CNY,2000-01-04,2020-09-22
000633,SHE,Stock,CNY,2007-08-30,2020-09-22
000635,SHE,Stock,CNY,2018-01-01,2020-09-22
000636,SHE,Stock,CNY,2000-01-03,2020-09-22
000637,SHE,Stock,CNY,2000-01-03,2020-09-22
000638,SHE,Stock,CNY,2009-06-05,2020-09-22
000639,SHE,Stock,CNY,2018-01-01,2020-09-22
000650,SHE,Stock,CNY,2018-01-01,2020-09-22
000651,SHE,Stock,CNY,2018-01-01,2020-09-22
000652,SHE,Stock,CNY,2000-01-04,2020-09-22
000653,SHE,Stock,CNY,,
000655,SHE,Stock,CNY,2000-01-04,2020-09-22
000656,SHE,Stock,CNY,2018-01-01,2020-09-22
000657,SHE,Stock,CNY,2018-01-02,2020-09-22
000658,SHE,Stock,CNY,,
000659,SHE,Stock,CNY,2018-01-02,2020-09-22
000660,SHE,Stock,CNY,,
000661,SHE,Stock,CNY,2000-01-03,2020-09-22
000662,SHE,Stock,CNY,2018-01-02,2020-09-22
000663,SHE,Stock,CNY,2000-01-03,2020-09-22
000665,SHE,Stock,CNY,2000-01-03,2020-09-22
000666,SHE,Stock,CNY,2018-01-01,2020-09-22
000667,SHE,Stock,CNY,2018-01-02,2020-09-22
000668,SHE,Stock,CNY,2018-01-01,2020-09-22
000669,SHE,Stock,CNY,2018-01-02,2020-09-22
000670,SHE,Stock,CNY,2018-01-02,2020-03-19
000671,SHE,Stock,CNY,2018-01-01,2020-09-22
000672,SHE,Stock,CNY,2000-01-03,2020-09-22
000673,SHE,Stock,CNY,2002-09-25,2020-09-22
000675,SHE,Stock,CNY,,
000676,SHE,Stock,CNY,2018-01-01,2020-09-22
000677,SHE,Stock,CNY,2000-01-03,2020-09-22
000678,SHE,Stock,CNY,2000-01-03,2020-09-22
000679,SHE,Stock,CNY,2018-01-02,2020-09-22
000680,SHE,Stock,CNY,2018-01-01,2020-09-22
000681,SHE,Stock,CNY,2018-01-01,2020-09-22
000682,SHE,Stock,CNY,2018-01-01,2020-09-22
000683,SHE,Stock,CNY,2018-01-02,2020-09-22
000685,SHE,Stock,CNY,2018-01-01,2020-09-22
000686,SHE,Stock,CNY,2000-01-03,2020-09-22
000687,SHE,Stock,CNY,2018-01-02,2020-09-22
000688,SHE,Stock,CNY,2018-01-02,2020-09-22
000689,SHE,Stock,CNY,,
000690,SHE,Stock,CNY,2000-01-03,2020-09-22
000691,SHE,Stock,CNY,2009-09-01,2020-09-22
000692,SHE,Stock,CNY,2018-01-02,2020-09-22
000693,SHE,Stock,CNY,2018-01-01,2019-07-08
000695,SHE,Stock,CNY,2018-01-16,2020-09-22
000697,SHE,Stock,CNY,2018-01-02,2020-09-22
000698,SHE,Stock,CNY,2018-01-01,2020-09-22
000699,SHE,Stock,CNY,,
000700,SHE,Stock,CNY,2000-01-03,2020-09-22
000701,SHE,Stock,CNY,2000-01-03,2020-09-22
000702,SHE,Stock,CNY,2000-01-03,2020-09-22
000703,SHE,Stock,CNY,2018-01-01,2020-09-22
000705,SHE,Stock,CNY,2018-01-01,2020-09-22
000707,SHE,Stock,CNY,2018-01-02,2020-09-22
000708,SHE,Stock,CNY,2000-01-03,2020-09-22
000709,SHE,Stock,CNY,2000-01-03,2020-09-22
000710,SHE,Stock,CNY,2000-01-03,2020-09-22
000711,SHE,Stock,CNY,2018-01-02,2020-09-22
000712,SHE,Stock,CNY,2018-01-02,2020-09-22
000713,SHE,Stock,CNY,2018-01-01,2020-09-22
000715,SHE,Stock,CNY,2000-01-03,2020-09-22
000716,SHE,Stock,CNY,2018-01-01,2020-09-22
000717,SHE,Stock,CNY,2000-01-03,2020-09-22
000718,SHE,Stock,CNY,2018-01-01,2020-09-22
000719,SHE,Stock,CNY,2018-01-01,2020-09-22
000720,SHE,Stock,CNY,2007-08-30,2020-09-22
000721,SHE,Stock,CNY,2018-01-02,2020-09-22
000722,SHE,Stock,CNY,2018-01-01,2020-09-22
000723,SHE,Stock,CNY,2000-01-03,2020-09-22
000725,SHE,Stock,CNY,2001-01-11,2020-09-22
000726,SHE,Stock,CNY,2018-01-01,2020-09-22
000727,SHE,Stock,CNY,2018-01-02,2020-09-22
000728,SHE,Stock,CNY,2000-01-03,2020-09-22
000729,SHE,Stock,CNY,2000-01-03,2020-09-22
000730,SHE,Stock,CNY,,
000731,SHE,Stock,CNY,2000-01-03,2020-09-22
000732,SHE,Stock,CNY,2018-01-01,2020-09-22
000733,SHE,Stock,CNY,2000-01-03,2020-09-22
000735,SHE,Stock,CNY,2018-01-01,2020-09-22
000736,SHE,Stock,CNY,2018-01-01,2020-09-22
000737,SHE,Stock,CNY,2007-08-30,2020-09-15
000738,SHE,Stock,CNY,2018-01-01,2020-09-22
000739,SHE,Stock,CNY,2000-01-03,2020-09-22
000748,SHE,Stock,CNY,,
000750,SHE,Stock,CNY,2018-01-01,2020-09-22
000751,SHE,Stock,CNY,2018-01-02,2020-09-22
000752,SHE,Stock,CNY,2000-01-03,2020-09-22
000753,SHE,Stock,CNY,2018-01-01,2020-09-22
000755,SHE,Stock,CNY,2018-01-02,2020-09-22
000756,SHE,Stock,CNY,2000-01-03,2020-09-22
000757,SHE,Stock,CNY,2013-02-08,2020-09-22
000758,SHE,Stock,CNY,2018-01-01,2020-09-22
000759,SHE,Stock,CNY,2018-01-01,2020-09-22
000760,SHE,Stock,CNY,2018-01-02,2020-06-03
000761,SHE,Stock,CNY,2000-01-03,2020-09-22
000762,SHE,Stock,CNY,2018-01-02,2020-09-22
000763,SHE,Stock,CNY,,
000765,SHE,Stock,CNY,,
000766,SHE,Stock,CNY,2018-04-24,2020-09-22
000767,SHE,Stock,CNY,2000-01-03,2020-09-22
000768,SHE,Stock,CNY,2018-01-01,2020-09-22
000769,SHE,Stock,CNY,,
000776,SHE,Stock,CNY,2018-01-01,2020-09-22
000777,SHE,Stock,CNY,2018-01-01,2020-09-22
000778,SHE,Stock,CNY,2000-01-03,2020-09-22
000779,SHE,Stock,CNY,2007-08-30,2020-09-22
000780,SHE,Stock,CNY,2000-01-03,2020-09-22
000782,SHE,Stock,CNY,2018-01-01,2020-09-22
000783,SHE,Stock,CNY,2000-01-03,2020-09-22
000785,SHE,Stock,CNY,2018-01-01,2020-09-22
000786,SHE,Stock,CNY,2018-01-01,2020-09-22
000787,SHE,Stock,CNY,,
000788,SHE,Stock,CNY,2018-01-01,2020-09-22
000789,SHE,Stock,CNY,2018-01-01,2020-09-22
000790,SHE,Stock,CNY,2015-01-05,2020-09-22
000791,SHE,Stock,CNY,2018-01-01,2020-09-22
000792,SHE,Stock,CNY,2000-01-03,2020-04-29
000793,SHE,Stock,CNY,2018-01-02,2020-09-22
000795,SHE,Stock,CNY,2000-01-03,2020-09-22
000796,SHE,Stock,CNY,2007-08-30,2020-09-22
000797,SHE,Stock,CNY,2018-01-01,2020-09-22
000798,SHE,Stock,CNY,2018-01-02,2020-09-22
000799,SHE,Stock,CNY,2018-01-01,2020-09-22
000800,SHE,Stock,CNY,2018-01-01,2020-09-22
000801,SHE,Stock,CNY,2018-01-01,2020-09-22
000802,SHE,Stock,CNY,2018-01-01,2020-09-22
000803,SHE,Stock,CNY,2007-08-30,2020-09-22
000805,SHE,Stock,CNY,,
000806,SHE,Stock,CNY,2007-08-30,2020-09-22
000807,SHE,Stock,CNY,2018-01-02,2020-09-22
000809,SHE,Stock,CNY,2000-01-03,2020-09-22
000810,SHE,Stock,CNY,2018-01-01,2020-09-22
000811,SHE,Stock,CNY,2018-01-01,2020-09-22
000812,SHE,Stock,CNY,2017-12-06,2020-09-22
000813,SHE,Stock,CNY,2018-01-02,2020-09-22
000815,SHE,Stock,CNY,2000-01-03,2020-09-22
000816,SHE,Stock,CNY,2000-01-03,2020-09-22
000817,SHE,Stock,CNY,,
000818,SHE,Stock,CNY,2018-01-01,2020-09-22
000819,SHE,Stock,CNY,2018-01-01,2020-09-22
000820,SHE,Stock,CNY,2007-08-30,2020-09-22
000821,SHE,Stock,CNY,2000-01-03,2020-09-22
000822,SHE,Stock,CNY,2018-01-01,2020-09-22
000823,SHE,Stock,CNY,2000-01-03,2020-09-22
000825,SHE,Stock,CNY,2018-01-01,2020-09-22
000826,SHE,Stock,CNY,2018-01-01,2020-09-22
000827,SHE,Stock,CNY,,
000828,SHE,Stock,CNY,2018-01-01,2020-09-22
000829,SHE,Stock,CNY,2018-01-01,2020-09-22
000830,SHE,Stock,CNY,2000-01-03,2020-09-22
000831,SHE,Stock,CNY,2018-01-02,2020-09-22
000832,SHE,Stock,CNY,,
000833,SHE,Stock,CNY,2018-01-01,2020-09-22
000835,SHE,Stock,CNY,2000-01-03,2020-09-22
000836,SHE,Stock,CNY,2018-01-02,2020-09-22
000837,SHE,Stock,CNY,2018-01-02,2020-09-22
000838,SHE,Stock,CNY,2018-01-01,2020-09-22
000839,SHE,Stock,CNY,2000-01-03,2020-09-22
000848,SHE,Stock,CNY,2018-01-01,2020-09-22
000850,SHE,Stock,CNY,2018-01-01,2020-09-22
000851,SHE,Stock,CNY,2018-01-01,2020-09-22
000852,SHE,Stock,CNY,2000-01-03,2020-09-22
000856,SHE,Stock,CNY,2000-01-03,2020-09-22
000858,SHE,Stock,CNY,2018-01-01,2020-09-22
000859,SHE,Stock,CNY,2018-01-01,2020-09-22
000860,SHE,Stock,CNY,2000-01-03,2020-09-22
000861,SHE,Stock,CNY,2018-01-01,2020-09-22
000862,SHE,Stock,CNY,2018-01-02,2020-09-22
000863,SHE,Stock,CNY,2018-01-01,2020-09-22
000866,SHE,Stock,CNY,,
000868,SHE,Stock,CNY,2018-01-02,2020-09-22
000869,SHE,Stock,CNY,2018-01-01,2020-09-22
000875,SHE,Stock,CNY,2007-08-30,2020-09-22
000876,SHE,Stock,CNY,2018-01-01,2020-09-22
000877,SHE,Stock,CNY,2018-01-01,2020-09-22
000878,SHE,Stock,CNY,2018-01-02,2020-09-22
000880,SHE,Stock,CNY,2018-01-01,2020-09-22
000881,SHE,Stock,CNY,2000-01-03,2020-09-22
000882,SHE,Stock,CNY,2018-01-02,2020-09-22
000883,SHE,Stock,CNY,2018-01-01,2020-09-22
000885,SHE,Stock,CNY,2018-01-01,2020-09-22
000886,SHE,Stock,CNY,2018-01-01,2020-09-22
000887,SHE,Stock,CNY,2018-01-01,2020-09-22
000888,SHE,Stock,CNY,2018-01-01,2020-09-22
000889,SHE,Stock,CNY,2015-01-05,2020-09-22
000890,SHE,Stock,CNY,2018-01-02,2020-09-22
000892,SHE,Stock,CNY,2008-04-24,2020-09-22
000893,SHE,Stock,CNY,2018-01-02,2020-09-22
000895,SHE,Stock,CNY,2018-01-01,2020-09-22
000897,SHE,Stock,CNY,2018-01-02,2020-09-22
000898,SHE,Stock,CNY,2018-01-01,2020-09-22
000899,SHE,Stock,CNY,2018-01-01,2020-09-22
000900,SHE,Stock,CNY,2017-10-26,2020-09-22
000901,SHE,Stock,CNY,2018-01-01,2020-09-22
000902,SHE,Stock,CNY,2018-01-01,2020-09-22
000903,SHE,Stock,CNY,2018-01-01,2020-09-22
000905,SHE,Stock,CNY,2000-01-03,2020-09-22
000906,SHE,Stock,CNY,2000-01-03,2020-09-22
000908,SHE,Stock,CNY,2000-01-03,2020-09-22
000909,SHE,Stock,CNY,2018-01-02,2020-09-22
000910,SHE,Stock,CNY,2018-01-01,2020-09-22
000911,SHE,Stock,CNY,2000-01-03,2020-09-22
000912,SHE,Stock,CNY,2007-08-30,2020-09-22
000913,SHE,Stock,CNY,2018-01-01,2020-09-22
000915,SHE,Stock,CNY,2000-01-03,2020-09-22
000916,SHE,Stock,CNY,2007-08-30,2017-12-04
000917,SHE,Stock,CNY,2000-01-04,2020-09-22
000918,SHE,Stock,CNY,2018-01-02,2020-09-22
000919,SHE,Stock,CNY,2018-01-01,2020-09-22
000920,SHE,Stock,CNY,2018-01-01,2020-09-22
000921,SHE,Stock,CNY,2018-01-01,2020-09-22
000922,SHE,Stock,CNY,2018-01-01,2020-09-22
000923,SHE,Stock,CNY,2018-01-01,2020-09-22
000925,SHE,Stock,CNY,2018-01-02,2020-09-22
000926,SHE,Stock,CNY,2000-01-03,2020-09-22
000927,SHE,Stock,CNY,2018-01-02,2020-09-22
000928,SHE,Stock,CNY,2018-01-01,2020-09-22
000929,SHE,Stock,CNY,2018-01-02,2020-09-22
000930,SHE,Stock,CNY,2017-10-23,2020-09-22
000931,SHE,Stock,CNY,2000-01-03,2020-09-22
000932,SHE,Stock,CNY,2018-01-01,2020-09-22
000933,SHE,Stock,CNY,2018-01-01,2020-09-22
000935,SHE,Stock,CNY,2018-01-01,2020-09-22
000936,SHE,Stock,CNY,2018-01-01,2020-09-22
000937,SHE,Stock,CNY,2000-01-03,2020-09-22
000938,SHE,Stock,CNY,2000-01-03,2020-09-22
000939,SHE,Stock,CNY,2007-08-30,2019-04-26
000948,SHE,Stock,CNY,2000-01-03,2020-09-22
000949,SHE,Stock,CNY,2018-01-01,2020-09-22
000950,SHE,Stock,CNY,2017-04-25,2020-09-22
000951,SHE,Stock,CNY,2018-01-01,2020-09-22
000952,SHE,Stock,CNY,2018-01-01,2020-09-22
000953,SHE,Stock,CNY,2018-01-02,2020-09-22
000955,SHE,Stock,CNY,2000-01-03,2020-09-22
000956,SHE,Stock,CNY,,
000957,SHE,Stock,CNY,2018-01-02,2020-09-22
000958,SHE,Stock,CNY,2000-01-03,2020-09-22
000959,SHE,Stock,CNY,2000-01-03,2020-09-10
000960,SHE,Stock,CNY,2018-01-02,2020-09-22
000961,SHE,Stock,CNY,2000-02-29,2020-09-22
000962,SHE,Stock,CNY,2018-01-02,2020-09-22
000963,SHE,Stock,CNY,2000-01-26,2020-09-22
000965,SHE,Stock,CNY,2018-01-01,2020-09-22
000966,SHE,Stock,CNY,2000-03-15,2020-09-22
000967,SHE,Stock,CNY,2000-03-29,2020-09-22
000968,SHE,Stock,CNY,2018-01-01,2020-09-22
000969,SHE,Stock,CNY,2018-01-02,2020-09-22
000970,SHE,Stock,CNY,2000-04-19,2020-09-22
000971,SHE,Stock,CNY,2018-01-02,2020-09-22
000972,SHE,Stock,CNY,2018-01-02,2020-09-22
000973,SHE,Stock,CNY,2000-05-24,2020-09-22
000975,SHE,Stock,CNY,2018-01-01,2020-09-22
000976,SHE,Stock,CNY,2000-06-07,2020-09-22
000977,SHE,Stock,CNY,2018-01-01,2020-09-22
000978,SHE,Stock,CNY,2018-01-01,2020-09-22
000979,SHE,Stock,CNY,2008-01-17,2018-12-27
000980,SHE,Stock,CNY,2000-06-15,2020-09-22
000981,SHE,Stock,CNY,2018-01-02,2020-09-22
000982,SHE,Stock,CNY,2018-01-02,2020-09-22
000983,SHE,Stock,CNY,2000-07-25,2020-09-22
000985,SHE,Stock,CNY,2018-01-01,2020-09-22
000987,SHE,Stock,CNY,2000-07-17,2020-09-22
000988,SHE,Stock,CNY,2018-01-01,2020-09-22
